longitude,latitude,terrain
-86.99124846386259,40.47234809462064,Grass
-86.99124928369484,40.47234841682016,Grass
-86.9912500933528,40.47234869765112,Grass
-86.99125092624695,40.47234894577392,Grass
-86.99125176217123,40.47234915919544,Grass
-86.9912525889734,40.4723493364352,Grass
-86.9912534271098,40.47234948309757,Grass
-86.99125426523167,40.47234959957523,Grass
-86.991255094503,40.47234968915869,Grass
-86.99125592010684,40.47234976088202,Grass
-86.99125675866328,40.47234981900581,Grass
-86.99125761685077,40.47234986535809,Grass
-86.99125848423635,40.472349901816955,Grass
-86.99125935518472,40.4723499311259,Grass
-86.9912602482636,40.4723499559392,Grass
-86.99126113932601,40.47234997525343,Grass
-86.99126201747043,40.47234999243889,Grass
-86.99126289424655,40.47235000859816,Grass
-86.9912637870143,40.47235002698243,Grass
-86.99126467167589,40.472350047554364,Grass
-86.9912655477301,40.472350068614176,Grass
-86.99126642631414,40.47235008588889,Grass
-86.99126729621406,40.47235009697615,Grass
-86.99126816824698,40.47235011080912,Grass
-86.99126902435358,40.47235011603124,Grass
-86.99126988822398,40.472350106990646,Grass
-86.99127074296437,40.47235008655172,Grass
-86.99127159691454,40.4723500588975,Grass
-86.99127242699358,40.47235002735452,Grass
-86.99127327062638,40.472349996440315,Grass
-86.99127408173747,40.472349972338016,Grass
-86.99127490905944,40.47234995996078,Grass
-86.99127572479507,40.472349965070784,Grass
-86.99127655600823,40.47234999297347,Grass
-86.991277398332,40.47235004949833,Grass
-86.99127825797453,40.472350137379856,Grass
-86.99127913895802,40.47235025370117,Grass
-86.99128002274901,40.47235040434878,Grass
-86.99128087302496,40.47235058715108,Grass
-86.99128165172057,40.472350790056794,Grass
-86.99128239972731,40.47235102281796,Grass
-86.99128310325356,40.47235128523344,Grass
-86.99128378451361,40.472351586164976,Grass
-86.99128442170054,40.47235190936653,Grass
-86.99128506411985,40.47235227491685,Grass
-86.99128570538728,40.47235266833072,Grass
-86.99128635722627,40.47235308498389,Grass
-86.99128700703098,40.4723535065619,Grass
-86.99128766064534,40.4723539248826,Grass
-86.99128830955361,40.472354326934514,Grass
-86.99128895711314,40.47235470927154,Grass
-86.99128961948803,40.4723550780754,Grass
-86.99129030229837,40.47235542892397,Grass
-86.99129096234574,40.47235573737987,Grass
-86.9912916487975,40.47235602504019,Grass
-86.99129234809126,40.47235628264599,Grass
-86.99129304043126,40.472356501292154,Grass
-86.99129375258426,40.47235668964562,Grass
-86.991294445604,40.47235683488823,Grass
-86.99129514101585,40.472356947204496,Grass
-86.99129584130459,40.47235702376928,Grass
-86.99129653956473,40.47235706453658,Grass
-86.9912972289549,40.47235707335849,Grass
-86.9912979188728,40.47235704596103,Grass
-86.99129859155452,40.47235698472826,Grass
-86.9912992626094,40.47235688849634,Grass
-86.99129992291918,40.47235675497845,Grass
-86.99130055818281,40.47235658930381,Grass
-86.9913011736263,40.472356393869646,Grass
-86.99130176672348,40.47235616668189,Grass
-86.99130233521994,40.47235590823615,Grass
-86.99130288982249,40.47235561780407,Grass
-86.99130343018713,40.47235528930086,Grass
-86.99130395937564,40.47235492125764,Grass
-86.99130445877152,40.472354529287195,Grass
-86.99130491885742,40.47235411819227,Grass
-86.99130534177633,40.47235368726341,Grass
-86.99130573352784,40.472353232729965,Grass
-86.99130608791091,40.4723527609096,Grass
-86.9913063990221,40.47235228563947,Grass
-86.9913066801325,40.47235178312694,Grass
-86.99130691917912,40.47235127284127,Grass
-86.99130711695517,40.47235075822821,Grass
-86.99130728088302,40.47235021560693,Grass
-86.99130740208734,40.47234966911864,Grass
-86.99130747957138,40.472349129128126,Grass
-86.99130751430945,40.47234856783544,Grass
-86.99130750305049,40.472348007673446,Grass
-86.99130744903779,40.472347466227205,Grass
